    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      0.00,      120.0000,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.10,      120.0000,       0.00005,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.20,      120.0000,       0.00043,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.30,      120.0000,       0.00156,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.40,      120.0000,       0.00376,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.50,      120.0000,       0.00744,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.60,      120.0000,       0.01306,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.70,      120.0000,       0.02125,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.80,      120.0000,       0.03277,     0.0000005,     0.0000153,     0.0000025,     0.0000050,     0.0000047,     0.0000029,     0.0000003
      0.90,      120.0000,       0.04862,     0.0000007,     0.0000304,     0.0000045,     0.0000091,     0.0000095,     0.0000066,     0.0000006
      1.00,      119.9999,       0.07000,     0.0000010,     0.0000528,     0.0000077,     0.0000157,     0.0000163,     0.0000118,     0.0000012
      1.10,      120.0001,       0.09870,     0.0000014,     0.0000865,     0.0000127,     0.0000257,     0.0000266,     0.0000194,     0.0000020
      1.20,      120.0001,       0.15803,     0.0000022,     0.0001600,     0.0000245,     0.0000497,     0.0000486,     0.0000337,     0.0000034
      1.30,      119.9999,       0.25202,     0.0000035,     0.0002915,     0.0000462,     0.0000936,     0.0000882,     0.0000580,     0.0000055
      1.40,      119.9999,       0.38437,     0.0000053,     0.0004971,     0.0000837,     0.0001697,     0.0001570,     0.0000778,     0.0000089
      1.50,      120.0001,       0.55784,     0.0000077,     0.0007780,     0.0001469,     0.0002979,     0.0002298,     0.0000885,     0.0000150
      1.60,      119.9999,       0.76919,     0.0000107,     0.0011160,     0.0002427,     0.0004925,     0.0002586,     0.0000960,     0.0000262
      1.70,      120.0001,       1.01407,     0.0000141,     0.0014845,     0.0004070,     0.0006647,     0.0002728,     0.0001013,     0.0000387
      1.80,      119.9999,       1.29288,     0.0000180,     0.0018925,     0.0007703,     0.0006934,     0.0002830,     0.0001050,     0.0000408
      1.90,      120.0001,       1.60598,     0.0000223,     0.0023329,     0.0011786,     0.0007132,     0.0002911,     0.0001081,     0.0000419
      2.00,      119.9998,       1.95364,     0.0000271,     0.0028159,     0.0016324,     0.0007313,     0.0002985,     0.0001108,     0.0000430
      2.10,      120.0001,       2.33610,     0.0000324,     0.0032140,     0.0020020,     0.0007489,     0.0003057,     0.0001135,     0.0000440
      2.20,      120.0001,       2.75351,     0.0000382,     0.0032871,     0.0020475,     0.0007659,     0.0003126,     0.0001160,     0.0000450
      2.30,      120.0001,       3.20600,     0.0000445,     0.0033575,     0.0020914,     0.0007823,     0.0003193,     0.0001185,     0.0000460
      2.40,      120.0001,       3.69363,     0.0000513,     0.0034281,     0.0021353,     0.0007987,     0.0003260,     0.0001210,     0.0000470
      2.50,      120.0001,       4.21643,     0.0000586,     0.0035012,     0.0021809,     0.0008158,     0.0003330,     0.0001236,     0.0000480
      2.60,      119.9998,       4.77438,     0.0000663,     0.0035801,     0.0022301,     0.0008342,     0.0003405,     0.0001264,     0.0000490
      2.70,      120.0001,       5.36743,     0.0000745,     0.0036616,     0.0022808,     0.0008532,     0.0003482,     0.0001293,     0.0000502
      2.80,      120.0001,       5.99552,     0.0000833,     0.0037470,     0.0023340,     0.0008731,     0.0003563,     0.0001323,     0.0000513
