    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      3.90,      64.00002,       0.06408,     0.0000009,     0.0000432,     0.0000090,     0.0000183,     0.0000103,     0.0000044,     0.0000012
      4.00,      64.00002,       0.07809,     0.0000011,     0.0000589,     0.0000107,     0.0000218,     0.0000164,     0.0000083,     0.0000017
      4.10,      64.00002,       0.09640,     0.0000013,     0.0000813,     0.0000146,     0.0000296,     0.0000224,     0.0000124,     0.0000023
      4.20,      64.00002,       0.11939,     0.0000017,     0.0001101,     0.0000198,     0.0000403,     0.0000302,     0.0000167,     0.0000031
      4.30,      64.00002,       0.14742,     0.0000020,     0.0001465,     0.0000269,     0.0000546,     0.0000411,     0.0000199,     0.0000041
      4.40,      64.00002,       0.18085,     0.0000025,     0.0001913,     0.0000376,     0.0000723,     0.0000539,     0.0000219,     0.0000056
      4.50,      64.00002,       0.22000,     0.0000031,     0.0002446,     0.0000549,     0.0000959,     0.0000626,     0.0000234,     0.0000078
      4.60,      64.00002,       0.26517,     0.0000037,     0.0003055,     0.0000768,     0.0001281,     0.0000665,     0.0000247,     0.0000095
      4.70,      64.00002,       0.31665,     0.0000044,     0.0003730,     0.0001074,     0.0001601,     0.0000697,     0.0000259,     0.0000100
      4.80,      64.00002,       0.37466,     0.0000052,     0.0004487,     0.0001607,     0.0001779,     0.0000726,     0.0000270,     0.0000105
      4.90,      64.00002,       0.43942,     0.0000061,     0.0005340,     0.0002352,     0.0001846,     0.0000754,     0.0000280,     0.0000109
      5.00,      63.99974,       0.51114,     0.0000071,     0.0006293,     0.0003205,     0.0001908,     0.0000779,     0.0000289,     0.0000112
      5.10,      64.00002,       0.58999,     0.0000082,     0.0007350,     0.0004168,     0.0001966,     0.0000802,     0.0000298,     0.0000116
      5.20,      64.00002,       0.67613,     0.0000094,     0.0008512,     0.0005242,     0.0002020,     0.0000825,     0.0000306,     0.0000119
      5.30,      64.00002,       0.76968,     0.0000107,     0.0008888,     0.0005536,     0.0002071,     0.0000845,     0.0000314,     0.0000122
      5.40,      64.00002,       0.87078,     0.0000121,     0.0009094,     0.0005664,     0.0002119,     0.0000865,     0.0000321,     0.0000125
      5.50,      64.00002,       0.97953,     0.0000136,     0.0009290,     0.0005786,     0.0002164,     0.0000883,     0.0000328,     0.0000127
      5.60,      64.00002,       1.09603,     0.0000152,     0.0009483,     0.0005907,     0.0002210,     0.0000902,     0.0000335,     0.0000130
      5.70,      64.00002,       1.22019,     0.0000169,     0.0009659,     0.0006017,     0.0002251,     0.0000919,     0.0000341,     0.0000132
      5.80,      64.00002,       1.35055,     0.0000188,     0.0009792,     0.0006099,     0.0002281,     0.0000931,     0.0000346,     0.0000134
