    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      0.00,      100.0000,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.10,      100.0000,       0.00001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.20,      100.0000,       0.00012,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.30,      100.0000,       0.00042,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.40,      100.0000,       0.00102,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.50,      100.0000,       0.00199,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.60,      100.0000,       0.00344,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.70,      100.0000,       0.00549,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.80,      100.0000,       0.00830,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.90,      100.0000,       0.01205,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.00,      100.0000,       0.01697,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.10,      100.0000,       0.02332,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.20,      100.0000,       0.03141,     0.0000004,     0.0000142,     0.0000023,     0.0000047,     0.0000044,     0.0000027,     0.0000002
      1.30,      100.0000,       0.04160,     0.0000006,     0.0000244,     0.0000036,     0.0000072,     0.0000076,     0.0000055,     0.0000005
      1.40,      100.0000,       0.05433,     0.0000008,     0.0000375,     0.0000053,     0.0000108,     0.0000116,     0.0000089,     0.0000009
      1.50,      100.0000,       0.07012,     0.0000010,     0.0000550,     0.0000078,     0.0000157,     0.0000169,     0.0000132,     0.0000014
      1.60,       99.9999,       0.09625,     0.0000013,     0.0000851,     0.0000122,     0.0000248,     0.0000259,     0.0000199,     0.0000022
      1.70,      100.0000,       0.14008,     0.0000019,     0.0001398,     0.0000208,     0.0000421,     0.0000424,     0.0000312,     0.0000033
      1.80,      100.0000,       0.20377,     0.0000028,     0.0002280,     0.0000357,     0.0000724,     0.0000712,     0.0000435,     0.0000051
      1.90,      100.0000,       0.28933,     0.0000040,     0.0003550,     0.0000587,     0.0001190,     0.0001163,     0.0000531,     0.0000079
      2.00,      100.0002,       0.39843,     0.0000055,     0.0005240,     0.0000975,     0.0001979,     0.0001563,     0.0000595,     0.0000127
      2.10,       99.9999,       0.53237,     0.0000074,     0.0007290,     0.0001548,     0.0003143,     0.0001740,     0.0000646,     0.0000213
      2.20,      100.0000,       0.69212,     0.0000096,     0.0009647,     0.0002441,     0.0004396,     0.0001855,     0.0000689,     0.0000266
      2.30,      100.0000,       0.87488,     0.0000122,     0.0012273,     0.0004559,     0.0004766,     0.0001945,     0.0000722,     0.0000280
      2.40,      100.0000,       1.07838,     0.0000150,     0.0015137,     0.0007163,     0.0004927,     0.0002011,     0.0000746,     0.0000290
      2.50,      100.0000,       1.30278,     0.0000181,     0.0018268,     0.0010098,     0.0005048,     0.0002060,     0.0000765,     0.0000297
      2.60,      100.0000,       1.54822,     0.0000215,     0.0021668,     0.0013327,     0.0005154,     0.0002104,     0.0000781,     0.0000303
      2.70,      100.0000,       1.81483,     0.0000252,     0.0022563,     0.0014054,     0.0005257,     0.0002146,     0.0000796,     0.0000309
      2.80,       99.9997,       2.10274,     0.0000292,     0.0022997,     0.0014325,     0.0005358,     0.0002187,     0.0000812,     0.0000315
      2.90,      100.0003,       2.41204,     0.0000335,     0.0023423,     0.0014590,     0.0005458,     0.0002228,     0.0000827,     0.0000321
      3.00,      100.0000,       2.74282,     0.0000381,     0.0023858,     0.0014861,     0.0005559,     0.0002269,     0.0000842,     0.0000327
      3.10,      100.0000,       3.09515,     0.0000430,     0.0024315,     0.0015146,     0.0005666,     0.0002312,     0.0000858,     0.0000333
      3.20,       99.9997,       3.46908,     0.0000482,     0.0024789,     0.0015441,     0.0005776,     0.0002357,     0.0000875,     0.0000340
      3.30,      100.0000,       3.86466,     0.0000537,     0.0025283,     0.0015749,     0.0005891,     0.0002404,     0.0000892,     0.0000346
      3.40,      100.0003,       4.28192,     0.0000595,     0.0025785,     0.0016062,     0.0006008,     0.0002452,     0.0000910,     0.0000353
      3.50,       99.9997,       4.72086,     0.0000656,     0.0026315,     0.0016391,     0.0006131,     0.0002503,     0.0000929,     0.0000361
      3.60,      100.0003,       5.18149,     0.0000720,     0.0026827,     0.0016710,     0.0006251,     0.0002551,     0.0000947,     0.0000368
      3.70,       99.9997,       5.66380,     0.0000787,     0.0027323,     0.0017019,     0.0006366,     0.0002598,     0.0000964,     0.0000374
