    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      0.00,      100.0000,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.10,      100.0000,       0.00001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.20,      100.0000,       0.00008,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.30,      100.0000,       0.00030,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.40,      100.0000,       0.00072,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.50,      100.0000,       0.00141,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.60,      100.0000,       0.00243,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.70,      100.0000,       0.00388,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.80,      100.0000,       0.00586,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.90,      100.0000,       0.00850,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.00,      100.0000,       0.01195,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.10,      100.0000,       0.01639,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.20,      100.0000,       0.02205,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.30,      100.0000,       0.02915,     0.0000004,     0.0000168,     0.0000028,     0.0000058,     0.0000051,     0.0000029,     0.0000002
      1.40,      100.0000,       0.03800,     0.0000005,     0.0000283,     0.0000043,     0.0000088,     0.0000090,     0.0000056,     0.0000005
      1.50,      100.0000,       0.04896,     0.0000007,     0.0000423,     0.0000066,     0.0000134,     0.0000141,     0.0000073,     0.0000009
      1.60,       99.9999,       0.06347,     0.0000009,     0.0000612,     0.0000097,     0.0000196,     0.0000209,     0.0000096,     0.0000015
      1.70,      100.0000,       0.09061,     0.0000013,     0.0000980,     0.0000160,     0.0000325,     0.0000331,     0.0000140,     0.0000024
      1.80,      100.0000,       0.13189,     0.0000018,     0.0001601,     0.0000300,     0.0000610,     0.0000466,     0.0000183,     0.0000042
      1.90,      100.0000,       0.18891,     0.0000026,     0.0002498,     0.0000539,     0.0001094,     0.0000577,     0.0000217,     0.0000072
      2.00,      100.0002,       0.26306,     0.0000037,     0.0003690,     0.0001146,     0.0001550,     0.0000657,     0.0000244,     0.0000093
      2.10,       99.9999,       0.35544,     0.0000049,     0.0005174,     0.0002320,     0.0001764,     0.0000720,     0.0000267,     0.0000104
      2.20,      100.0000,       0.46690,     0.0000065,     0.0006977,     0.0003912,     0.0001894,     0.0000773,     0.0000287,     0.0000111
      2.30,      100.0000,       0.59837,     0.0000083,     0.0008603,     0.0005358,     0.0002005,     0.0000818,     0.0000304,     0.0000118
      2.40,      100.0000,       0.74545,     0.0000104,     0.0008956,     0.0005579,     0.0002087,     0.0000852,     0.0000316,     0.0000123
      2.50,      100.0000,       0.90825,     0.0000126,     0.0009224,     0.0005746,     0.0002149,     0.0000877,     0.0000326,     0.0000126
      2.60,      100.0000,       1.08687,     0.0000151,     0.0009448,     0.0005885,     0.0002201,     0.0000898,     0.0000333,     0.0000129
      2.70,      100.0000,       1.28142,     0.0000178,     0.0009657,     0.0006016,     0.0002250,     0.0000918,     0.0000341,     0.0000132
      2.80,       99.9997,       1.49199,     0.0000207,     0.0009876,     0.0006152,     0.0002301,     0.0000939,     0.0000349,     0.0000135
      2.90,      100.0003,       1.71867,     0.0000239,     0.0010111,     0.0006298,     0.0002356,     0.0000962,     0.0000357,     0.0000139
      3.00,      100.0000,       1.96152,     0.0000272,     0.0010359,     0.0006453,     0.0002414,     0.0000985,     0.0000366,     0.0000142
      3.10,      100.0000,       2.22061,     0.0000308,     0.0010628,     0.0006620,     0.0002476,     0.0001011,     0.0000375,     0.0000146
      3.20,       99.9997,       2.49599,     0.0000347,     0.0010888,     0.0006782,     0.0002537,     0.0001035,     0.0000384,     0.0000149
      3.30,      100.0000,       2.78770,     0.0000387,     0.0011138,     0.0006938,     0.0002595,     0.0001059,     0.0000393,     0.0000153
      3.40,      100.0003,       3.09576,     0.0000430,     0.0011380,     0.0007088,     0.0002651,     0.0001082,     0.0000402,     0.0000156
      3.50,       99.9997,       3.42020,     0.0000475,     0.0011614,     0.0007234,     0.0002706,     0.0001104,     0.0000410,     0.0000159
      3.60,      100.0003,       3.76102,     0.0000522,     0.0011840,     0.0007375,     0.0002759,     0.0001126,     0.0000418,     0.0000162
      3.70,       99.9997,       4.11823,     0.0000572,     0.0012059,     0.0007512,     0.0002810,     0.0001147,     0.0000426,     0.0000165
