    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      0.00,      64.00000,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.10,      64.00000,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.20,      64.00002,       0.00000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.30,      63.99997,       0.00001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.40,      64.00002,       0.00003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.50,      64.00002,       0.00006,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.60,      63.99999,       0.00009,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.70,      63.99995,       0.00015,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.80,      64.00002,       0.00022,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      0.90,      64.00002,       0.00030,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.00,      64.00002,       0.00042,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.10,      64.00002,       0.00056,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.20,      63.99995,       0.00074,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.30,      64.00002,       0.00095,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.40,      64.00002,       0.00121,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.50,      63.99989,       0.00152,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.60,      64.00002,       0.00187,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.70,      64.00002,       0.00229,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.80,      64.00002,       0.00276,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      1.90,      64.00002,       0.00331,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.00,      64.00002,       0.00392,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.10,      64.00002,       0.00461,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.20,      64.00002,       0.00539,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.30,      64.00002,       0.00625,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.40,      64.00002,       0.00721,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.50,      63.99989,       0.00827,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.60,      64.00002,       0.00944,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.70,      64.00002,       0.01073,     0.0000001,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.80,      64.00002,       0.01215,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      2.90,      64.00002,       0.01371,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.00,      64.00002,       0.01542,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.10,      63.99974,       0.01730,     0.0000002,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.20,      64.00002,       0.01935,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.30,      64.00002,       0.02160,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.40,      64.00002,       0.02405,     0.0000003,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000,     0.0000000
      3.50,      64.00002,       0.02674,     0.0000004,     0.0000004,     0.0000003,     0.0000001,     0.0000000,     0.0000000,     0.0000000
      3.60,      64.00002,       0.02968,     0.0000004,     0.0000172,     0.0000091,     0.0000050,     0.0000020,     0.0000008,     0.0000003
